"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"155","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:40:00",NA,NA,NA,209,26.5,NA,NA,NA,NA
"156","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:45:00",NA,NA,NA,256,27,NA,NA,NA,NA
"157","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:50:00",NA,NA,NA,209,26.5,NA,NA,NA,NA
"158","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:55:00",NA,NA,NA,35,13,NA,NA,NA,NA
"159","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:00:00",NA,NA,NA,116,25.5,NA,NA,NA,NA
"160","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:05:00",NA,NA,NA,209,26.5,NA,NA,NA,NA
"161","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:10:00",NA,NA,NA,163,26,NA,NA,NA,NA
"162","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:15:00",NA,NA,NA,12,12,NA,NA,NA,NA
"163","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:20:00",NA,NA,NA,163,26,NA,NA,NA,NA
"164","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:25:00",NA,NA,NA,256,27,NA,NA,NA,NA
"165","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:30:00",NA,NA,NA,256,27,NA,NA,NA,NA
"166","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:35:00",NA,NA,NA,81,13.5,NA,NA,NA,NA
"167","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:40:00",NA,NA,NA,12,12,NA,NA,NA,NA
"168","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:45:00",NA,NA,NA,511,53.5,NA,NA,NA,NA
"169","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:50:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"170","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","02:55:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"171","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:00:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"172","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:05:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"173","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:10:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"174","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:15:00",NA,NA,NA,929,105.5,NA,NA,NA,NA
"175","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:20:00",NA,NA,NA,744,103,NA,NA,NA,NA
"176","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:25:00",NA,NA,NA,511,53.5,NA,NA,NA,NA
"177","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:30:00",NA,NA,NA,325,51.5,NA,NA,NA,NA
"178","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:35:00",NA,NA,NA,12,12,NA,NA,NA,NA
"179","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:40:00",NA,NA,NA,209,26.5,NA,NA,NA,NA
"180","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:45:00",NA,NA,NA,325,51.5,NA,NA,NA,NA
"181","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:50:00",NA,NA,NA,209,26.5,NA,NA,NA,NA
"182","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","03:55:00",NA,NA,NA,12,12,NA,NA,NA,NA
"183","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:00:00",NA,NA,NA,127,27,NA,NA,NA,NA
"184","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:05:00",NA,NA,NA,279,28.5,NA,NA,NA,NA
"185","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:10:00",NA,NA,NA,177,27.5,NA,NA,NA,NA
"186","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:15:00",NA,NA,NA,13,13,NA,NA,NA,NA
"187","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:20:00",NA,NA,NA,177,27.5,NA,NA,NA,NA
"188","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:25:00",NA,NA,NA,812,110,NA,NA,NA,NA
"189","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:30:00",NA,NA,NA,1218,114,NA,NA,NA,NA
"190","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:35:00",NA,NA,NA,1421,116,NA,NA,NA,NA
"191","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:40:00",NA,NA,NA,1421,116,NA,NA,NA,NA
"192","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:45:00",NA,NA,NA,1218,114,NA,NA,NA,NA
"193","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:50:00",NA,NA,NA,1015,112,NA,NA,NA,NA
"194","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","04:55:00",NA,NA,NA,812,110,NA,NA,NA,NA
"195","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:00:00",NA,NA,NA,558,56.5,NA,NA,NA,NA
"196","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:05:00",NA,NA,NA,355,54.5,NA,NA,NA,NA
"197","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:10:00",NA,NA,NA,13,13,NA,NA,NA,NA
"198","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:15:00",NA,NA,NA,228,28.5,NA,NA,NA,NA
"199","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:20:00",NA,NA,NA,355,54.5,NA,NA,NA,NA
"200","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","05:25:00",NA,NA,NA,355,54.5,NA,NA,NA,NA
